'Date';'DAX';'S+ACY-P 500'
'2013+AC0-12+AC0-27';9589.389648;1841.400024
'2013+AC0-12+AC0-23';9488.820312;1842.02002
'2013+AC0-12+AC0-20';9400.179688;1833.319946
'2013+AC0-12+AC0-19';9335.740234;1827.98999
'2013+AC0-12+AC0-18';9181.75;1818.319946
'2013+AC0-12+AC0-17';9085.120117;1809.599976
'2013+AC0-12+AC0-16';9163.55957;1810.650024
'2013+AC0-12+AC0-13';9006.459961;1781
'2013+AC0-12+AC0-12';9017;1786.540039
'2013+AC0-12+AC0-11';9077.110352;1775.319946
'2013+AC0-12+AC0-10';9114.44043;1775.5
'2013+AC0-12+AC0-09';9195.169922;1782.219971
'2013+AC0-12+AC0-06';9172.410156;1802.619995
'2013+AC0-12+AC0-05';9084.950195;1808.369995
'2013+AC0-12+AC0-04';9140.629883;1805.089966
'2013+AC0-12+AC0-03';9223.400391;1785.030029
'2013+AC0-12+AC0-02';9401.959961;1792.810059
'2013+AC0-11+AC0-29';9405.299805;1795.150024
'2013+AC0-11+AC0-28';9387.370117;1800.900024
'2013+AC0-11+AC0-27';9351.129883;1805.810059
'2013+AC0-11+AC0-26';9290.070312;1807.22998
'2013+AC0-11+AC0-25';9299.950195;1802.75
'2013+AC0-11+AC0-22';9219.040039;1802.47998
'2013+AC0-11+AC0-21';9196.080078;1804.76001
'2013+AC0-11+AC0-20';9202.070312;1795.849976
'2013+AC0-11+AC0-19';9193.290039;1781.369995
'2013+AC0-11+AC0-18';9225.429688;1787.869995
'2013+AC0-11+AC0-15';9168.69043;1791.530029
'2013+AC0-11+AC0-14';9149.660156;1798.180054
'2013+AC0-11+AC0-13';9054.830078;1790.619995
'2013+AC0-11+AC0-12';9076.480469;1782
'2013+AC0-11+AC0-11';9107.860352;1767.689941
'2013+AC0-11+AC0-08';9078.280273;1771.890015
'2013+AC0-11+AC0-07';9081.030273;1770.609985
'2013+AC0-11+AC0-06';9040.870117;1747.150024
'2013+AC0-11+AC0-05';9009.110352;1770.48999
'2013+AC0-11+AC0-04';9037.230469;1762.969971
'2013+AC0-11+AC0-01';9007.830078;1767.930054
